corpus,file,method,block_size,original_bytes,encoded_bytes,ratio,encode_seconds
silesia_sample,samba,asbx_fixed_zero_gaps,256,65536,65545,1.0001373291015625,0.658571399981156
silesia_sample,samba,zlib_9,,65536,22268,0.33978271484375,0.00508479995187372
silesia_sample,samba,bzip2_9,,65536,20197,0.3081817626953125,0.007109600002877414
silesia_sample,samba,lzma_9,,65536,20816,0.317626953125,0.0606900000711903
silesia_sample,sao,asbx_oracle,256,65536,65545,1.0001373291015625,0.4699980999575928
silesia_sample,sao,asbx_deterministic,256,65536,65545,1.0001373291015625,0.07393079996109009
silesia_sample,sao,asbx_fixed_raw,256,65536,65545,1.0001373291015625,0.0020886999554932117
silesia_sample,sao,asbx_fixed_zero,256,65536,65545,1.0001373291015625,0.0014595999382436275
silesia_sample,sao,asbx_fixed_zero_trim,256,65536,65545,1.0001373291015625,0.0033499000128358603
silesia_sample,sao,asbx_fixed_one_gaps,256,65536,65545,1.0001373291015625,0.5780478999949992
silesia_sample,sao,asbx_fixed_zero_gaps,256,65536,65545,1.0001373291015625,0.5098639000207186
silesia_sample,sao,zlib_9,,65536,49645,0.7575225830078125,0.009085799916647375
silesia_sample,sao,bzip2_9,,65536,47572,0.72589111328125,0.009793099947273731
silesia_sample,sao,lzma_9,,65536,43300,0.66070556640625,0.055319700040854514
silesia_sample,webster,asbx_oracle,256,65536,65545,1.0001373291015625,0.5210179999703541
silesia_sample,webster,asbx_deterministic,256,65536,65545,1.0001373291015625,0.0703940000385046
silesia_sample,webster,asbx_fixed_raw,256,65536,65545,1.0001373291015625,0.002237900043837726
silesia_sample,webster,asbx_fixed_zero,256,65536,65545,1.0001373291015625,0.0012173999566584826
silesia_sample,webster,asbx_fixed_zero_trim,256,65536,65545,1.0001373291015625,0.003695499966852367
silesia_sample,webster,asbx_fixed_one_gaps,256,65536,65545,1.0001373291015625,0.537597700022161
silesia_sample,webster,asbx_fixed_zero_gaps,256,65536,65545,1.0001373291015625,0.6002024000044912
silesia_sample,webster,zlib_9,,65536,22910,0.349578857421875,0.004718700074590743
silesia_sample,webster,bzip2_9,,65536,20278,0.309417724609375,0.007899200078099966
silesia_sample,webster,lzma_9,,65536,21524,0.32843017578125,0.06642659998033196
silesia_sample,x-ray,asbx_oracle,256,65536,65545,1.0001373291015625,0.6494580000871792
silesia_sample,x-ray,asbx_deterministic,256,65536,65545,1.0001373291015625,0.08005949994549155
silesia_sample,x-ray,asbx_fixed_raw,256,65536,65545,1.0001373291015625,0.002390699926763773
silesia_sample,x-ray,asbx_fixed_zero,256,65536,65545,1.0001373291015625,0.0015742999967187643
silesia_sample,x-ray,asbx_fixed_zero_trim,256,65536,65545,1.0001373291015625,0.003713899990543723
silesia_sample,x-ray,asbx_fixed_one_gaps,256,65536,65545,1.0001373291015625,0.4907039999961853
silesia_sample,x-ray,asbx_fixed_zero_gaps,256,65536,65545,1.0001373291015625,0.7097939999075606
silesia_sample,x-ray,zlib_9,,65536,47403,0.7233123779296875,0.0037678999360650778
silesia_sample,x-ray,bzip2_9,,65536,35687,0.5445404052734375,0.006734500057063997
silesia_sample,x-ray,lzma_9,,65536,36172,0.55194091796875,0.054728199960663915
silesia_sample,xml,asbx_oracle,256,65536,65545,1.0001373291015625,0.611594200017862
silesia_sample,xml,asbx_deterministic,256,65536,65545,1.0001373291015625,0.08752739999908954
silesia_sample,xml,asbx_fixed_raw,256,65536,65545,1.0001373291015625,0.0023363999789580703
silesia_sample,xml,asbx_fixed_zero,256,65536,65545,1.0001373291015625,0.0012897999258711934
silesia_sample,xml,asbx_fixed_zero_trim,256,65536,65545,1.0001373291015625,0.0032758000306785107
silesia_sample,xml,asbx_fixed_one_gaps,256,65536,65545,1.0001373291015625,0.4416049000574276
silesia_sample,xml,asbx_fixed_zero_gaps,256,65536,65545,1.0001373291015625,0.5860351999290287
silesia_sample,xml,zlib_9,,65536,5112,0.0780029296875,0.0022193000186234713
silesia_sample,xml,bzip2_9,,65536,4003,0.0610809326171875,0.007590399938635528
silesia_sample,xml,lzma_9,,65536,4388,0.06695556640625,0.04026819998398423
