split,scenario,file,method,block_size,original_bytes,encoded_bytes,ratio,encode_seconds,decode_seconds
test,all_zero,all_zero.bin,fixed_raw,256,32768,32777,1.000274658203125,0.001151299919001758,9.400071576237679e-06
test,all_zero,all_zero.bin,fixed_zero,256,32768,525,0.016021728515625,0.0020433000754565,0.0006383999716490507
test,all_zero,all_zero.bin,fixed_zero_trim,256,32768,909,0.027740478515625,0.009714700048789382,0.0011063000420108438
test,all_zero,all_zero.bin,fixed_one_gaps,256,32768,653,0.019927978515625,0.06620180001482368,0.0011882999679073691
test,all_zero,all_zero.bin,fixed_zero_gaps,256,32768,32777,1.000274658203125,0.4848049000138417,1.4499993994832039e-05
test,boundary_zeros,boundary_zeros.bin,oracle,256,32768,17250,0.52642822265625,0.2693710000021383,0.001120799919590354
test,boundary_zeros,boundary_zeros.bin,deterministic,256,32768,17270,0.52703857421875,0.04051710001658648,0.0011723999632522464
test,boundary_zeros,boundary_zeros.bin,fixed_raw,256,32768,32777,1.000274658203125,0.001250100089237094,9.899958968162537e-06
test,boundary_zeros,boundary_zeros.bin,fixed_zero,256,32768,32777,1.000274658203125,0.0007045000093057752,9.199953638017178e-06
test,boundary_zeros,boundary_zeros.bin,fixed_zero_trim,256,32768,17250,0.52642822265625,0.005021499935537577,0.0010184000711888075
test,boundary_zeros,boundary_zeros.bin,fixed_one_gaps,256,32768,31829,0.971343994140625,0.16264610004145652,0.006126500084064901
test,boundary_zeros,boundary_zeros.bin,fixed_zero_gaps,256,32768,32777,1.000274658203125,0.36693510005716234,2.289994154125452e-05
test,clustered_bits,clustered_bits.bin,oracle,256,32768,5273,0.160919189453125,0.29430750000756234,0.003037799964658916
test,clustered_bits,clustered_bits.bin,deterministic,256,32768,5274,0.16094970703125,0.04785719991195947,0.0036357999779284
test,clustered_bits,clustered_bits.bin,fixed_raw,256,32768,32777,1.000274658203125,0.0013721000868827105,2.2500054910779e-05
test,clustered_bits,clustered_bits.bin,fixed_zero,256,32768,19800,0.604248046875,0.0012370999902486801,0.0007313000969588757
